Actinio,Ac
Aluminio,Al
Americio,Am
Antimonio,Sb
Argón,Ar
Arsénico,As
Ástato,At
Azufre,S
Bario,Ba
Berilio,Be
Berkelio,Bk
Bismuto,Bi
Bohrio,Bh
Boro,B
Bromo,Br
Cadmio,Cd
Calcio,Ca
Californio,Cf
Carbono,C
Cerio,Ce
Cesio,Cs
Cloro,Cl
Cobalto,Co
Cobre,Cu
Copernicium,NC
Cromo,Cr
Curio,Cm
Darmstadio,Ds
Disprosio,Dy
Dubnio,Db
Einstenio,Es
Erbio,Er
Escandio,Sc
Estaño,Sn
Estroncio,Sr
Europio,Eu
Fermio,Fm
Flerovium ,Fl
Fluor,F
Fósforo,P
Francio,Fr
Gadolinio,Gd
Galio,Ga
Germanio,Ge
Hafnio,Hf
Hassio,Hs
Helio,He
Hidrógeno,H
Hierro,Fe
Holmio,Ho
Indio,In
Iodo,I
Iridio,Ir
Iterbio,Yb
Itrio,Y
Kryptón,Kr
Lantano,La
Lawrencio,Lr
Litio,Li
Livermorium ,Lv
Lutecio,Lu
Magnesio,Mg
Manganeso,Mn
Meitnerio,Mt
Mendelevio,Md
Mercurio,Hg
Molibdeno,Mo
Moscovium ,Mc
Neodimio,Nd
Neón,Ne
Neptunio,Np
Nihonium ,Nh
Niobio,Nb
Níquel,Ni
Nitrógeno,N
Nobelio,No
Oganesson ,Og
Oro,Au
Osmio,Os
Oxígeno,O
Paladio,Pd
Plata,Ag
Platino,Pt
Plomo,Pb
Plutonio,Pu
Polonio,Po
Potasio,K
Praseodimio,Pr
Promecio,Pm
Protactinio,Pa
Radio,Ra
Radón,Rn
Renio,Re
Rodio,Rh
Roentgenium,Rg
Rubidio,Rb
Rutenio,Ru
Rutherfordio,Rf
Samario,Sm
Seaborgio,Sg
Selenio,Se
Sílice,Si
Sodio,Na
Talio,Tl
Tantalio,Ta
Tecnecio,Tc
Teluro,Te
Tennessine ,Ts
Terbio,Tb
Titanio,Ti
Torio,Th
Tulio,Tm
Uranio,U
Vanadio,V
Wolframio,W
Xenón,Xe
Zinc,Zn
Zirconio,Zr
